#"Potential Energy (kJ/mole)","Speed (ns/day)"
-26902.36356795844,1.48
-26945.310886073094,1.48
-27137.580110294006,1.48
-26870.41511599261,1.48
-27329.777595135034,1.32
-27193.206702605134,1.32
-27450.189446938555,1.33
-27276.735191604483,1.33
-27295.981419829353,1.33
-27136.936761628203,1.33
-27233.466759068277,1.33
-27035.414561771155,1.33
-27032.10485578858,1.33
-26976.085395918897,1.34
-26617.912046932204,1.34
-27119.4995432405,1.34
-27150.495118943723,1.34
-27466.53815985616,1.34
-27193.937888459397,1.34
-27172.639767176977,1.34
-26684.135625646988,1.34
-26715.559387968067,1.35
-27059.272368351627,1.16
-26717.286296165224,1.16
-26476.573961308015,1.16
-27185.533572749493,1.16
-26912.210901798975,1.17
-26934.705818112507,1.16
-26949.872716344355,1.14
-26625.643025923528,1.15
-27066.293028556902,1.15
-27244.887763064446,1.15
-26956.486540910475,1.15
-27362.625226069933,1.15
-26647.304648788784,1.15
-27208.43906250328,1.15
-27039.539250644975,1.16
-27218.945399126605,1.16
-26703.48364793179,1.16
-27185.227396288577,1.16
-27289.376576097347,1.16
-27325.260043973765,1.16
-27477.117080975055,1.03
-27200.599692948083,1.03
-27350.481591446456,1.03
-27334.57931350208,1.03
-27427.91542731398,1.03
-27240.34022338975,1.04
-27919.12626290467,1.04
-27300.820873997036,1.04
-27251.19520967264,1.04
-27392.514296969082,1.04
-27689.091374984266,1.04
-27839.01640435766,1.04
-27927.129352609434,1.04
-27230.085077597458,1.05
-27429.825969351954,1.05
-27524.325470448235,1.05
-27204.014605366985,1.05
-27564.700282710506,1.05
-27523.983905690216,1.02
-27260.233545244493,1.02
-26929.339446616996,1.02
-27289.13540405783,1.02
-27680.607933185674,1.02
-27270.83662039363,1.02
-27724.9857530685,1.02
-27307.005232187916,0.995
-27449.227079053566,0.996
-27393.08339825009,0.997
-27858.09830792536,0.999
-27414.713597887596,1
-27819.818293976034,1
-27275.521071798277,1
-27476.89379715907,1
-27406.102200274745,1
-27674.14960403543,1.01
-27571.22949586505,1.01
-27650.419411326235,1.01
-27377.479903168747,1.01
-27730.91052893586,1.01
-27268.808775842066,1.01
-27273.91914006618,1.01
-26916.42440649897,1.01
-27241.26583143697,1.01
-27449.120321302762,1.02
-27167.092036475366,1.02
-27757.79518876266,1.02
-27197.70181387147,1.02
-27180.234952072085,1.02
-27480.819034761626,1.02
-27298.770873002817,1.02
-27304.14233419571,1.02
